LGACODE,LGA,Year,Deaths,Population
LGA12600,Dubbo (C),2011,307.40765,40241.991
LGA12600,Dubbo (C),2012,256.61535,40652.683
LGA12600,Dubbo (C),2013,342.92303,40988.383
LGA12600,Dubbo (C),2014,333.4384,41536.722
LGA12700,Dungog (A),2010,55,8457
LGA12700,Dungog (A),2011,79,8556
LGA12700,Dungog (A),2012,85,8706
LGA12700,Dungog (A),2013,64,8880
LGA12700,Dungog (A),2014,58,9103
LGA12750,Eurobodalla (A),2010,379.7588,36769.951
LGA12750,Eurobodalla (A),2011,435.70461,37079.216
LGA12750,Eurobodalla (A),2012,425.33572,37118.536
LGA12750,Eurobodalla (A),2013,428.13934,37255.074
LGA12750,Eurobodalla (A),2014,450.05259,37581.191
LGA12850,Fairfield (C),2010,965.24582,195281.21
LGA12850,Fairfield (C),2011,1067.9667,196477.99
LGA12850,Fairfield (C),2012,1029.5603,198487.36
LGA12850,Fairfield (C),2013,1112.0517,201363.09
LGA12850,Fairfield (C),2014,1168.5077,202980.29
LGA12900,Forbes (A),2010,100.03662,9447.4726
LGA12900,Forbes (A),2011,96.588726,9476.3406
LGA12900,Forbes (A),2012,101.08776,9552.1606
LGA12900,Forbes (A),2013,95.325684,9679.6587
LGA12900,Forbes (A),2014,105.37299,9769.8608
LGA12950,Gilgandra (A),2010,52.900933,4524.0094
LGA12950,Gilgandra (A),2011,51.921286,4513.2333
LGA12950,Gilgandra (A),2012,40.165523,4481.8846
LGA12950,Gilgandra (A),2013,43.104464,4477.966
LGA12950,Gilgandra (A),2014,43.104464,4449.5562
LGA13010,Glen Innes Severn (A),2010,101,8939
LGA13010,Glen Innes Severn (A),2011,115,8911
LGA13010,Glen Innes Severn (A),2012,95,8903
LGA13010,Glen Innes Severn (A),2013,104,8901
LGA13010,Glen Innes Severn (A),2014,127,8961
LGA13050,Gloucester (A),2010,48.112892,4939.268
LGA13050,Gloucester (A),2011,41.073814,5001.3166
LGA13050,Gloucester (A),2012,57.077288,5015.4156
LGA13050,Gloucester (A),2013,51.074682,4971.5615
LGA13050,Gloucester (A),2014,62.074682,5061.6613
LGA13100,Gosford (C),2010,1518.5098,167654.85
LGA13100,Gosford (C),2011,1599.4135,168321.22
LGA13100,Gosford (C),2012,1582.8563,169573.45
LGA13100,Gosford (C),2013,1563.4437,170697.32
LGA13100,Gosford (C),2014,1770.7803,171922
LGA13310,Goulburn Mulwaree (A),2010,261.88273,28114.023
LGA13310,Goulburn Mulwaree (A),2011,259.23635,28373.968
LGA13310,Goulburn Mulwaree (A),2012,270.57065,28760.284
