"SSC","$1-$199 ($1-$10,399)","$200-$299 ($10,400-$15,599)","$300-$399 ($15,600-$20,799)","$400-$599 ($20,800-$31,199)","$600-$799 ($31,200-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,999 ($78,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,999 ($208,000-$259,999)","$5,000 or more ($260,000 or more)","Total",
"Leslie Dam",3,0,6,7,12,11,12,7,13,5,7,3,0,0,0,86,
"Leyburn",6,5,24,27,21,23,14,10,5,3,0,0,0,0,0,138,
"Limestone Creek",4,0,3,3,3,11,3,5,15,16,11,8,6,9,0,97,
"Linthorpe",0,0,8,3,3,7,9,14,12,7,0,0,0,0,3,66,
"Linville",4,8,21,23,15,20,8,3,15,5,6,3,0,0,0,131,
"Lissner",13,36,93,101,68,61,67,58,57,47,31,16,7,4,3,662,
"Little Mountain",45,52,188,388,271,278,261,269,369,261,139,101,38,25,15,2700,
"Little Mulgrave",5,5,4,3,5,15,11,3,10,10,6,3,0,3,0,83,
"Loch Lomond",3,0,3,16,4,8,8,4,11,3,8,0,0,0,0,68,
"Lockhart River",3,13,17,15,22,19,23,10,31,13,7,3,0,0,0,176,
"Lockrose",4,3,8,24,26,29,20,17,12,9,3,0,0,0,0,155,
"Lockyer Waters",3,8,17,23,14,13,14,15,24,4,7,3,0,0,0,145,
"Logan Central",41,92,194,260,299,196,216,138,176,83,48,17,6,3,3,1772,
"Logan Reserve",11,4,20,43,40,44,47,53,102,57,44,35,14,15,6,535,
"Logan Village",10,19,41,91,68,80,92,73,155,127,103,56,19,18,8,960,
"Loganholme",24,16,65,122,152,147,203,208,314,259,133,78,44,13,8,1786,
"Loganlea",22,51,125,205,233,170,183,189,254,151,80,35,19,10,9,1736,
"Lonesome Creek",3,0,0,4,6,3,3,13,8,7,11,0,3,0,4,65,
"Long Pocket",3,0,5,8,16,10,9,12,16,8,3,0,0,0,0,90,
"Longreach (Qld)",25,38,87,145,146,129,135,139,178,144,68,58,10,9,8,1319,
"Lota",12,21,59,86,86,87,80,70,144,114,134,70,29,32,16,1040,
"Low Isles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Lower Beechmont",7,3,19,30,29,36,32,31,57,27,19,12,9,4,3,318,
"Lower Tenthill",0,0,11,16,12,8,15,10,15,10,3,0,0,0,4,104,
"Lower Wonga",6,4,7,28,21,17,11,8,19,7,8,0,0,0,3,139,
"Lowmead",0,0,13,15,17,9,8,3,3,4,7,3,0,0,3,85,
"Lowood",19,34,90,178,133,131,102,89,122,70,43,24,6,3,4,1048,
"Lucinda",9,4,19,66,42,59,25,24,24,8,8,3,4,0,6,301,
"Lumholtz",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Lundavra",3,0,9,11,17,16,15,18,13,9,5,3,0,0,3,122,
"Luscombe",0,4,3,4,7,6,4,12,20,23,16,7,3,11,3,123,
"Lutwyche",19,34,80,88,85,94,99,91,172,101,110,54,34,28,22,1111,
"Lytton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Ma Ma Creek",3,3,8,13,20,11,15,7,16,11,3,5,0,3,0,118,
"Maaroom",3,11,17,25,13,13,7,4,3,7,0,0,0,0,0,103,
"Mabuiag Island",0,4,0,0,7,3,8,3,5,8,3,3,0,0,0,44,
"Macalister",0,0,3,15,15,11,24,17,20,12,9,3,0,0,3,132,
"Macalister Range",3,0,3,8,10,13,6,3,8,6,4,0,0,0,0,64,
"Macgregor (Qld)",54,41,77,142,141,148,128,164,170,152,124,76,41,24,27,1509,
"Machans Beach",9,10,18,34,34,28,34,36,42,19,25,20,6,0,4,319,
"Mackay",35,79,147,130,123,113,144,117,195,111,120,60,23,24,25,1446,
"Mackay Harbour",0,12,7,25,31,9,20,29,32,20,60,24,18,16,19,322,
"Mackenzie (Brisbane - Qld)",0,4,5,3,20,20,20,32,70,72,87,55,35,24,14,461,
"Mackenzie River",0,0,0,8,4,9,6,9,15,8,3,12,0,6,9,89,
"Macknade",0,4,6,15,10,8,8,14,15,7,7,4,3,0,0,101,
"Maclagan",3,3,8,10,14,16,10,14,12,0,4,0,0,0,0,94,
"Macleay Island",31,68,174,233,145,105,86,40,53,20,31,4,0,0,0,990,
"Maidenwell",5,7,20,19,29,21,6,14,12,5,10,3,0,0,0,151,
"Main Beach",26,40,57,143,142,155,114,135,160,112,182,81,33,30,53,1463,
"Majors Creek (Qld)",0,0,9,16,6,12,11,6,13,9,10,3,0,0,0,95,
"Malanda",18,47,79,116,96,65,61,47,75,32,14,11,7,0,3,671,
"Maleny",14,55,148,235,167,148,109,114,108,67,52,28,13,4,11,1273,
"Mandalay",0,0,3,6,7,16,8,7,11,8,4,3,5,0,0,78,
"Maneroo",3,4,0,9,8,7,8,4,11,9,9,0,0,0,4,76,
"Mango Hill",18,11,57,77,93,90,106,92,226,191,140,91,31,21,17,1261,
"Manly (Qld)",18,38,90,116,111,103,108,84,168,122,139,89,46,27,34,1293,
"Manly West",47,73,271,344,304,280,290,283,498,437,375,230,124,100,44,3700,
"Manoora (Qld)",44,128,249,278,313,264,247,163,202,107,54,15,12,3,0,2079,
"Mansfield (Qld)",29,49,154,234,247,220,215,186,340,309,283,168,69,72,40,2615,
"Manunda",45,122,234,306,268,216,176,134,179,104,44,27,13,6,3,1877,
"Mapleton",9,21,53,102,75,63,62,42,43,41,25,15,3,3,4,561,
"Mapoon",0,0,8,9,15,11,12,6,10,3,0,0,0,0,0,74,
"Marburg",3,8,21,18,27,18,21,25,23,23,8,0,3,0,0,198,
"Marcoola",19,27,87,129,147,130,126,120,126,81,45,36,7,4,10,1094,
"Marcus Beach",3,15,14,32,22,27,28,25,47,17,23,3,5,3,0,264,
"Mareeba",63,146,366,495,425,403,323,290,365,257,132,82,22,21,13,3403,
"Margate (Qld)",41,147,340,425,318,265,236,185,298,176,127,83,30,20,16,2707,
"Maria Creeks",6,6,19,21,10,24,7,12,18,3,3,0,0,0,0,129,
"Marian",4,5,16,32,31,46,56,52,118,97,133,76,42,24,14,746,
"Marmor",0,0,9,13,9,5,3,7,8,6,4,3,0,0,0,67,
"Maroochy River",8,3,11,32,28,48,38,33,49,47,36,24,3,3,8,371,
"Maroochydore",137,278,632,1102,929,808,638,522,616,402,268,122,45,38,35,6572,
"Maroondan",5,3,20,21,35,17,12,13,15,3,3,3,0,0,4,154,
"Marsden",46,69,160,291,308,266,367,329,489,322,134,64,33,21,8,2907,
"Maryborough (Qld)",121,259,770,1071,833,644,552,412,485,301,148,66,24,19,12,5717,
"Maryborough West",8,6,19,41,23,24,15,14,25,24,12,4,3,3,0,221,
"Maryvale (Southern Downs - Qld)",8,4,11,27,20,12,6,9,13,8,6,0,0,0,0,124,
"Masig Island",0,6,3,10,11,3,18,3,10,0,0,0,0,0,0,64,
"Maudsland",9,10,12,43,38,80,73,74,163,162,84,57,16,10,15,846,
"McDesme",3,3,7,3,3,9,6,14,17,8,6,3,0,0,3,85,
"McDowall",14,14,46,97,130,131,158,170,319,282,301,190,93,82,72,2099,
"McEwens Beach",0,4,4,5,0,4,4,0,7,7,3,0,6,0,0,44,
"McIlwraith",3,4,4,18,11,5,13,14,12,0,6,3,0,0,0,93,
"McKinlay",3,0,4,13,8,6,3,6,7,3,3,5,5,0,3,69,
"Meadowbrook",7,12,44,57,63,70,80,91,154,141,78,33,20,9,0,859,
"Meadowvale",4,4,4,13,23,13,14,22,15,3,7,3,3,0,0,128,
"Meandarra",5,3,17,29,16,10,15,14,14,5,3,0,0,0,3,134,
"Meikleville Hill",4,0,11,15,22,16,13,13,15,12,6,10,4,6,3,150,
"Meldale",5,0,8,11,13,9,7,10,10,13,6,3,4,0,3,102,
"Memerambi",3,0,9,15,15,4,11,14,11,4,0,0,0,0,3,89,
"Mena Creek",6,6,11,27,23,18,17,22,22,17,3,10,0,0,0,182,
"Menzies (Qld)",6,12,20,16,19,23,27,24,51,18,49,24,21,6,4,320,
"Mer Island",0,8,5,8,12,11,11,8,5,6,5,5,0,0,0,84,
"Meridan Plains",13,15,48,87,76,82,33,59,78,54,26,16,8,0,0,595,
"Meringandan",0,3,3,10,11,10,9,12,11,10,3,8,0,0,0,90,
"Meringandan West",0,3,25,50,37,46,54,51,106,67,41,29,8,5,0,522,
"Mermaid Beach",31,58,123,191,266,235,230,211,298,204,164,97,39,40,46,2233,
"Mermaid Waters",76,113,291,490,467,397,364,353,509,304,287,167,69,60,45,3992,
"Merrimac",24,38,75,174,209,191,214,202,315,196,105,55,22,9,11,1840,
"Miallo",0,0,5,18,17,17,26,19,25,12,0,3,0,0,0,142,
"Miami",51,88,191,274,242,221,242,197,283,206,140,98,42,31,25,2331,
"Mica Creek",0,3,4,6,0,6,0,3,9,4,3,8,0,0,7,53,
"Middle Park (Qld)",16,11,40,77,55,95,81,85,173,183,156,113,58,46,29,1218,
"Middle Ridge",23,36,83,135,133,126,135,146,291,222,221,163,69,65,57,1905,
"Middlemount",3,0,0,3,3,9,16,15,41,37,206,66,34,25,52,510,
"Midge Point",0,3,10,19,15,24,8,9,13,3,3,3,0,0,0,110,
"Mighell",4,12,35,32,28,10,19,13,11,6,6,0,0,0,0,176,
"Milbong",4,3,9,15,15,10,12,23,17,23,0,7,0,0,0,138,
"Miles",12,23,65,98,64,78,64,51,75,50,44,15,3,5,6,653,
"Miles End",0,4,5,5,4,0,5,8,14,7,15,10,3,5,0,85,
"Millaa Millaa",9,14,12,43,32,30,21,16,11,8,7,4,0,0,0,207,
"Millaroo",0,0,0,8,6,9,5,7,4,6,4,3,0,0,0,52,
"Millbank (Qld)",13,42,73,176,128,81,84,75,78,41,32,23,5,0,3,854,
"Millchester",3,0,12,18,14,22,11,12,19,17,11,13,6,0,0,158,
"Millmerran",9,23,44,92,60,54,44,53,63,40,35,8,3,4,0,532,
"Millmerran Downs",4,13,21,27,16,14,12,5,5,6,3,0,0,0,0,126,
"Millstream (Qld)",13,20,57,79,61,38,20,15,22,9,8,4,0,0,3,349,
"Milman",0,0,8,16,8,5,8,8,15,10,3,3,0,0,0,84,
"Milton (Qld)",19,20,40,50,41,50,38,59,92,79,124,68,25,27,33,765,
"Minden",8,9,13,26,39,34,35,34,61,43,19,13,3,0,0,337,
"Minyama",23,38,97,125,95,89,68,69,94,66,75,47,23,14,25,948,
"Mirani",8,12,19,42,38,34,31,37,63,48,64,27,21,9,3,456,
"Miriam Vale",0,3,25,28,10,9,10,12,14,13,10,3,6,0,3,146,
"Mirriwinni",4,3,21,20,14,17,21,13,13,13,10,3,3,3,0,158,
"Mission Beach",6,10,24,53,47,66,41,41,40,33,26,9,0,3,8,407,
"Mission River",11,19,10,23,36,16,25,23,13,5,8,0,3,3,0,195,
"Mitchell (Qld)",8,29,59,69,63,57,31,45,50,27,28,13,0,3,3,485,
"Mitchelton",29,52,167,209,203,194,198,216,373,306,291,191,110,93,52,2684,
"Moa Island",0,9,9,16,25,8,10,11,16,5,3,0,0,0,0,112,
"Moffat Beach",15,30,84,116,95,93,82,68,122,68,58,37,9,13,10,900,
"Moffatdale",0,3,3,14,10,9,8,5,11,6,3,4,0,0,0,76,
"Moggill",5,3,20,61,74,73,75,72,149,147,177,121,34,33,33,1077,
"Molendinar",39,43,88,163,174,175,176,183,251,200,117,92,29,27,19,1776,
"Mondure",4,4,6,14,12,5,9,4,6,7,3,5,0,0,0,79,
"Monkland",6,9,52,92,72,46,44,35,36,27,4,3,0,3,0,429,
"Mons",5,0,7,17,20,28,16,18,32,33,21,27,8,0,9,241,
"Monto",13,22,53,86,72,49,35,33,47,25,18,7,0,3,0,463,
"Montville",11,12,16,50,35,33,32,25,42,21,19,9,3,3,8,319,
"Moodlu",0,0,0,6,9,8,7,14,6,7,8,0,0,0,0,65,
"Moogerah",0,0,5,14,6,10,8,9,11,9,4,0,0,0,0,76,
"Moolboolaman",8,10,24,43,18,24,14,11,10,4,7,4,0,0,0,177,
"Mooloolaba",51,107,255,352,359,363,312,265,380,204,168,99,17,20,46,2998,
"Mooloolah Valley",12,21,36,104,95,106,102,89,138,99,72,36,13,14,9,946,
"Moonford",6,3,3,9,18,21,14,15,7,6,7,5,0,0,3,117,
"Moonie",5,4,5,9,13,14,5,8,13,6,5,0,0,0,0,87,
"Moore",6,7,18,31,10,7,11,6,9,4,0,6,0,0,0,115,
"Moore Park Beach",16,27,68,160,107,89,64,59,67,37,29,20,0,0,4,747,
"Moores Pocket",4,16,39,91,49,44,15,18,21,8,9,3,0,0,0,317,
"Moorina (Qld)",3,0,5,10,9,9,7,11,11,13,8,5,5,3,7,106,
"Moorland (Qld)",4,3,3,11,3,4,6,10,17,14,3,0,0,0,0,78,
"Mooroobool",25,67,128,200,239,233,215,209,289,206,137,83,32,24,21,2108,
"Moorooka",60,146,257,334,337,296,318,291,509,370,323,217,81,67,51,3657,
"Moranbah",7,14,25,40,47,60,87,94,265,184,817,331,182,146,212,2511,
"Morayfield",70,114,260,580,594,599,663,586,865,560,314,167,65,47,31,5515,
"Moresby (Qld)",0,3,10,18,15,16,7,9,19,8,6,0,0,6,0,117,
"Moreton Bay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Morganville",6,9,8,7,13,9,10,4,4,4,0,0,0,0,0,74,
"Morningside",41,93,203,241,215,224,279,294,483,392,474,279,150,115,103,3586,
"Mornington (Qld)",7,13,34,31,26,45,39,41,105,61,78,57,27,12,23,599,
"Morton Vale",3,0,9,3,10,10,9,9,11,4,4,0,0,3,0,75,
"Morven (Qld)",3,0,12,20,21,22,8,4,10,7,3,0,0,0,5,115,
"Mosman Park (Qld)",0,3,11,23,22,23,21,10,17,13,9,5,0,0,0,157,
"Mossman",11,42,58,79,73,72,58,55,62,29,20,10,3,0,3,575,
"Mossman Gorge",0,12,0,5,3,3,3,0,3,0,0,0,0,0,0,29,
"Mothar Mountain",6,7,14,23,21,11,20,15,24,16,4,3,0,0,0,164,
"Mount Abundance",3,0,0,3,16,7,5,7,12,12,5,3,0,0,0,73,
"Mount Alford",3,3,11,14,11,17,12,8,12,9,4,5,0,0,4,113,
"Mount Archer (Rockhampton - Qld)",0,0,0,0,3,3,0,3,5,0,3,6,0,5,0,28,
"Mount Beppo",6,8,11,25,12,9,9,7,14,10,7,3,0,0,0,121,
"Mount Britton",0,3,6,4,14,13,9,11,7,0,0,5,0,3,0,75,
"Mount Carbine",5,14,23,12,22,19,18,11,25,4,23,0,0,0,5,181,
"Mount Chalmers",0,0,8,8,3,11,8,7,13,5,3,0,0,0,0,66,
"Mount Coolon",3,6,16,15,17,13,15,16,19,10,25,5,0,0,3,163,
"Mount Coolum",24,35,98,130,126,103,138,116,157,117,89,38,15,10,9,1205,
"Mount Coot-tha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Mount Cotton",5,7,24,40,67,68,92,116,249,228,199,121,56,49,25,1346,
"Mount Crosby",6,3,12,20,18,34,38,30,76,63,97,61,18,19,11,506,
"Mount Delaney",0,0,0,5,5,0,0,0,6,0,0,0,0,0,0,16,
"Mount Elliot (Qld)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Mount Forbes",0,0,3,3,10,13,5,8,6,13,3,0,0,0,0,64,
"Mount Garnet",8,9,30,27,22,10,14,5,12,4,6,4,0,3,0,154,
"Mount Glorious",0,0,3,6,13,9,9,7,13,4,13,8,3,3,3,94,
"Mount Gravatt",15,66,134,99,93,94,83,71,152,112,83,83,30,32,12,1159,
"Mount Gravatt East",37,90,235,313,273,277,311,321,507,409,363,262,104,100,64,3666,
"Mount Hallen",6,3,3,22,18,16,19,16,25,13,6,0,3,0,0,150,
"Mount Isa",0,3,9,29,28,34,21,18,19,19,30,12,3,0,3,228,
"Mount Isa City",0,0,3,5,4,0,5,3,15,4,9,9,0,0,6,63,
"Mount Jukes",0,3,3,10,9,8,10,10,19,7,8,7,4,0,0,98,
"Mount Julian",3,0,0,13,14,15,9,14,28,21,5,3,4,0,0,129,
"Mount Kelly",3,0,0,8,7,7,12,18,29,10,8,7,5,0,0,114,
"Mount Kilcoy",0,0,0,9,9,12,10,15,7,9,0,4,0,0,3,78,
"Mount Kynoch",0,0,3,0,0,3,4,9,13,6,3,3,0,3,0,47,
"Mount Larcom",3,0,5,10,6,4,8,9,11,10,16,3,3,0,0,88,
"Mount Lofty",11,39,72,111,119,105,97,106,165,125,97,89,44,35,26,1241,
"Mount Louisa",21,30,68,117,141,165,212,202,396,367,267,180,71,55,27,2319,
"Mount Low",0,0,13,23,23,30,44,58,105,94,76,51,16,17,12,562,
"Mount Marshall",0,6,3,20,10,12,3,12,7,4,0,0,0,0,0,77,
"Mount Martin",0,0,0,6,4,6,7,6,18,7,16,5,0,0,0,75,
"Mount Mee",12,11,16,37,28,34,17,36,36,30,14,7,4,0,3,285,
"Mount Mellum",3,4,9,17,18,12,10,16,22,8,4,4,3,3,0,133,
"Mount Molloy",8,4,12,23,14,12,9,11,13,3,3,0,0,0,0,112,
"Mount Morgan",11,53,143,159,112,78,64,22,52,18,16,0,0,0,3,731,
"Mount Mort",3,0,3,7,6,4,8,9,9,15,8,5,0,3,0,80,
"Mount Murchison",0,0,4,4,10,0,4,3,15,3,7,10,0,0,3,63,
"Mount Nathan",0,6,9,20,21,30,25,40,46,41,33,27,3,7,0,308,
"Mount Nebo",0,0,3,14,16,20,24,14,23,18,11,13,0,3,4,163,
"Mount Ommaney",7,3,19,25,45,56,50,49,70,62,101,86,32,50,42,697,
"Mount Ossa",3,0,5,9,5,5,6,7,19,4,9,0,0,0,0,72,
"Mount Pelion",0,3,6,15,9,4,7,16,4,8,10,3,0,0,3,88,
"Mount Perry",7,9,23,22,24,21,12,15,13,4,21,10,0,6,3,190,
"Mount Pleasant (Mackay - Qld)",28,22,82,141,106,126,97,107,162,149,155,130,59,40,31,1435,
"Mount Pleasant (Moreton Bay - Qld)",0,3,0,12,5,10,6,3,12,12,11,8,5,0,3,90,
"Mount Rascal",0,0,0,0,7,9,4,9,14,18,9,0,0,0,0,70,
"Mount Rooper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Mount Samson",4,0,0,12,3,15,4,17,13,12,31,17,10,3,4,145,
"Mount Sheridan (Qld)",33,34,90,176,201,230,239,251,412,339,184,100,54,22,15,2380,
"Mount Stuart (Qld)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Mount Surprise",11,3,18,41,33,23,19,35,24,13,3,3,0,3,3,232,
"Mount Sylvia",5,0,6,6,10,5,5,5,6,0,0,0,0,0,0,48,
"Mount Tarampa",11,3,12,24,20,16,23,27,16,8,9,3,0,0,0,172,
"Mount Tyson",3,3,3,20,8,14,18,13,11,11,4,0,0,0,4,112,
"Mount Warren Park",25,43,138,230,198,173,185,159,266,197,120,65,39,22,7,1867,
"Mount Whitestone",5,0,3,9,11,9,5,9,7,6,0,0,0,0,0,64,
"Mountain Creek (Qld)",21,44,98,192,211,196,199,213,331,243,172,111,43,20,13,2107,
"Moura",12,19,36,51,49,44,48,52,90,40,156,67,16,10,21,711,
"Mourilyan",3,4,13,22,13,15,10,14,17,9,7,0,3,0,0,130,
"Mowbray (Qld)",5,0,14,15,24,26,16,14,23,8,14,3,0,5,3,170,
"Mudgeeraba",56,79,161,375,418,374,443,401,609,460,299,159,72,38,45,3989,
"Mudjimba",4,21,43,95,87,103,89,65,97,66,42,21,14,6,0,753,
"Muirlea",0,4,10,7,8,3,5,6,17,9,4,4,3,4,0,84,
"Mulambin",9,11,13,43,27,43,27,20,29,24,24,14,3,5,3,295,
"Mulgowie",0,3,11,5,10,15,7,4,13,9,5,3,0,0,0,85,
"Munbilla",3,0,4,13,18,15,13,16,19,14,11,3,0,0,0,129,
"Munbura",3,0,4,7,3,9,10,5,17,7,3,11,0,3,0,82,
"Mundingburra",20,54,126,167,105,120,93,112,150,126,98,56,23,17,11,1278,
"Mundoo",6,0,7,17,18,17,11,13,18,12,5,4,3,0,0,131,
"Mundoolun",9,3,7,22,20,20,31,37,65,45,37,21,4,8,0,329,
"Mundowran",3,0,5,10,18,5,3,11,3,3,0,0,0,0,0,61,
"Mundubbera",14,10,39,68,59,50,49,31,42,17,7,3,0,3,4,396,
"Mungabunda",3,0,0,12,16,8,19,14,14,8,8,0,0,0,0,102,
"Mungar",0,7,5,10,10,9,11,15,9,5,0,0,0,0,0,81,
"Munruben",5,3,16,47,51,52,59,79,116,114,84,50,28,14,7,725,
"Murarrie",17,27,48,69,85,59,108,84,185,133,161,114,60,55,35,1240,
"Murgon",13,27,97,158,135,89,84,74,79,43,20,16,10,3,3,851,
"Murphys Creek (Qld)",4,6,8,15,21,15,13,17,29,20,10,7,0,3,0,168,
"Murray",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Murray Upper",0,4,3,7,5,3,7,5,0,0,0,0,0,0,0,34,
"Murrumba Downs",32,40,88,220,232,250,242,244,465,386,319,202,76,65,30,2891,
"Mutdapilly",4,6,6,9,12,7,6,13,16,15,7,3,3,0,0,107,
"Muttaburra",7,3,3,10,18,18,12,15,14,10,3,3,0,0,0,116,
"Mysterton",0,7,9,21,23,21,16,17,30,21,26,32,12,14,8,257,
"Nahrunda",0,3,4,13,12,11,0,5,11,8,0,0,5,0,0,72,
"Nambour",79,175,349,605,462,400,358,324,379,222,117,53,26,9,11,3569,
"Nanango",24,79,189,267,199,125,107,74,130,42,54,21,6,0,5,1322,
"Nandi",0,0,3,3,8,12,8,10,13,5,3,3,0,0,0,68,
"Nankin",0,0,7,5,9,9,5,9,12,0,11,10,3,0,0,80,
"Nanum",3,3,5,9,10,19,27,24,38,36,60,36,21,11,7,309,
"Narangba",37,29,80,228,287,314,437,436,783,710,476,290,116,64,50,4337,
"Nathan",3,6,21,24,39,21,35,23,47,29,30,22,4,5,3,312,
"Nebo",0,5,8,15,8,40,13,22,27,22,49,20,3,3,14,249,
"Neerdie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Nelly Bay",12,17,33,57,58,56,43,41,35,31,18,14,3,3,3,424,
"Nerang",93,195,506,654,572,582,526,484,698,474,266,128,60,26,33,5297,
"Nerimbera",0,0,3,9,8,8,5,7,13,7,5,4,0,3,0,72,
"Neurum",0,0,4,10,3,3,4,5,7,3,3,3,0,0,0,45,
"New Auckland",10,29,55,104,81,69,80,79,220,158,246,153,54,52,31,1421,
"New Beith",6,3,9,18,30,50,70,86,173,165,96,85,25,15,7,838,
"New Chum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"New Farm",67,156,263,336,315,315,389,364,581,352,738,306,202,163,202,4749,
"New Harbourline",0,0,3,12,12,11,3,16,22,9,6,7,0,0,0,101,
"New Mapoon",3,8,3,13,13,21,16,12,29,13,9,4,0,0,3,147,
"Newell",0,8,8,11,18,11,15,9,12,11,11,4,0,0,0,118,
"Newmarket",26,51,96,110,121,109,139,119,193,148,197,135,51,46,75,1616,
"Newport (Qld)",11,10,46,88,51,61,75,59,108,102,136,89,51,42,41,970,
"Newstead (Qld)",0,3,6,13,8,12,24,16,52,38,88,37,20,12,30,359,
"Newtown (Ipswich - Qld)",0,13,33,44,58,51,49,51,70,50,34,20,11,8,4,496,
"Newtown (Toowoomba - Qld)",60,128,394,513,472,402,403,302,395,246,128,61,24,13,10,3551,
"Nikenbah",3,10,14,27,17,15,18,8,18,21,7,3,3,0,0,164,
"Ninderry",9,6,13,34,36,40,27,36,42,36,19,12,8,0,0,318,
"Ningi",22,24,64,139,116,118,101,106,152,92,67,41,10,9,4,1065,
"Nobby",8,10,18,31,17,18,15,13,9,8,8,0,0,0,0,155,
"Nome",8,6,20,35,34,31,16,33,46,36,33,19,7,3,3,330,
"Noorindoo",8,0,3,13,13,19,11,10,9,3,3,0,0,0,0,92,
"Noosa Heads",30,47,103,170,176,167,118,147,155,108,118,65,32,17,55,1508,
"Noosa North Shore",7,7,10,13,16,22,10,11,8,8,3,0,0,0,3,118,
"Noosaville",68,80,240,404,345,339,254,254,304,186,185,88,25,13,44,2829,
"Norman Gardens",42,45,185,241,207,223,200,198,401,312,233,166,73,52,42,2620,
"Norman Park",17,27,70,113,102,120,124,133,252,230,290,220,106,107,121,2032,
"Normanton",17,16,23,42,66,61,52,35,52,42,21,13,7,0,3,450,
"North Arm (Qld)",9,3,9,29,19,18,20,27,16,24,14,3,3,3,0,197,
"North Booval",15,14,38,86,70,90,87,69,98,72,43,13,8,5,3,711,
"North Deep Creek",0,10,5,5,10,14,10,10,10,5,0,5,0,0,0,84,
"North Eton",0,3,11,16,5,14,12,16,17,16,19,17,0,3,8,157,
"North Ipswich",20,68,121,186,185,155,187,110,204,129,73,34,16,9,3,1500,
"North Isis",0,0,17,30,27,24,18,4,12,12,10,0,0,0,0,154,
"North Lakes",34,52,118,258,256,275,355,432,771,656,619,351,116,89,51,4433,
"North Mackay",32,57,182,235,203,183,171,181,307,214,174,104,37,40,28,2148,
"North Maclean",3,6,22,30,46,44,38,50,52,35,40,21,8,3,3,401,
"North Maleny",0,9,19,21,25,31,28,13,29,15,8,3,4,0,8,213,
"North Stradbroke Island",0,7,15,9,12,3,5,0,0,3,5,3,0,0,0,62,
"North Talwood",3,3,7,9,13,18,14,7,14,8,11,4,0,0,0,111,
"North Toowoomba",11,50,112,158,138,144,130,106,132,68,50,25,14,3,5,1146,
"North Ward",26,70,93,147,175,207,204,166,249,131,222,92,48,41,51,1922,
"Northgate (Qld)",25,45,116,114,110,144,133,141,203,159,145,114,52,37,28,1566,
"Norville",18,36,118,172,139,94,89,88,83,45,30,9,8,3,3,935,
"Norwell",0,5,3,12,6,10,7,6,15,8,10,3,0,0,3,88,
"Nudgee",9,11,39,68,50,59,57,72,127,102,98,75,28,22,15,832,
"Nudgee Beach",4,3,6,9,7,7,9,7,6,6,6,8,5,3,0,86,
"Numinbah Valley",3,0,4,11,12,9,9,8,6,4,6,3,0,0,0,75,
"Nundah",53,146,341,348,363,351,441,402,606,413,434,253,94,84,51,4380,
"O'Connell (Qld)",0,0,0,0,5,0,4,4,5,9,13,10,0,4,5,59,
"Oak Beach",0,0,0,9,8,3,6,6,8,10,0,3,0,0,0,53,
"Oak Valley",0,0,5,6,7,5,8,4,27,15,5,9,7,4,0,102,
"Oakenden",0,3,5,6,10,11,12,4,15,14,12,8,7,4,3,114,
"Oakey",28,41,121,192,179,159,165,135,177,104,69,25,3,3,4,1405,
"Oakhurst (Qld)",7,7,12,34,42,33,35,28,62,41,28,9,6,0,0,344,
"Oakwood (Qld)",3,3,27,38,23,20,15,7,6,5,5,3,0,0,0,155,
"Obi Obi",6,3,19,12,18,14,7,12,25,12,9,0,3,0,3,143,
"Ocean View",4,0,10,21,24,13,22,23,35,31,18,18,8,5,9,241,
"One Mile (Qld)",11,40,70,80,101,75,79,72,83,37,18,7,5,0,0,678,
"Oonoonba",4,27,29,47,39,41,49,39,48,31,12,8,7,3,0,384,
"Ooralea",10,9,20,42,40,41,59,47,98,91,106,85,36,25,23,732,
"Orange Creek",4,0,0,5,8,9,4,13,10,3,9,6,0,0,3,74,
"Ormeau",34,37,99,284,235,271,336,345,657,513,334,213,86,68,32,3544,
"Ormeau Hills",0,0,3,20,15,18,23,26,61,59,43,28,12,14,3,325,
"Ormiston",23,34,128,175,159,153,126,148,207,195,207,122,65,56,48,1846,
"Osborne (Qld)",3,0,4,9,14,12,7,11,15,10,11,3,3,0,3,105,
"Owanyilla",0,3,6,13,8,8,15,6,9,9,7,6,0,0,0,90,
"Oxenford",36,67,162,331,327,322,396,359,510,433,256,136,43,41,39,3458,
